,country,age,overall_score,gender,country_id
36150,US,17,24,F,234
36151,GB,47,26,F,78
36152,US,28,22,F,234
36153,DK,24,29,M,59
36154,US,18,29,F,234
36155,IN,21,28,M,106
36156,AU,40,27,M,13
36157,GR,21,28,M,90
36158,US,18,24,F,234
36159,IN,29,26,F,106
36160,GB,19,26,F,78
36161,US,51,30,M,234
36162,GB,15,32,F,78
36163,GB,20,25,M,78
36164,NZ,34,31,F,172
36165,US,9,29,M,234
36166,FR,20,25,F,76
36167,BR,18,32,M,31
36168,GB,30,25,M,78
36169,US,70,24,M,234
36170,CA,28,25,M,38
36171,US,24,27,F,234
36172,GB,18,28,F,78
36173,GB,10,24,M,78
36174,GB,23,28,F,78
36175,US,22,26,F,234
36176,IT,20,29,M,111
36177,RS,17,27,F,191
36178,US,18,25,F,234
36179,US,0,24,0,234
36180,GB,16,28,M,78
36181,GB,17,29,M,78
36182,IN,23,24,M,106
36183,IE,19,30,F,103
36184,US,18,23,F,234
36185,US,43,28,M,234
36186,US,39,25,F,234
36187,US,13,18,F,234
36188,NZ,15,30,F,172
36189,US,19,28,F,234
36190,US,44,30,F,234
36191,US,67,25,F,234
36192,RO,17,25,F,190
36193,US,40,25,F,234
36194,HR,18,30,F,99
36195,US,20,27,F,234
36196,US,60,20,M,234
36197,BR,18,27,M,31
36198,US,26,27,F,234
36199,US,36,30,M,234
36200,US,57,29,F,234
36201,US,22,20,F,234
36202,MX,16,30,F,158
36203,US,17,27,F,234
36204,US,24,31,F,234
36205,AU,19,26,F,13
36206,JP,14,22,F,115
36207,US,18,27,F,234
36208,ID,18,27,F,102
36209,US,18,26,F,234
36210,DK,22,27,M,59
36211,GB,34,25,F,78
36212,US,18,26,M,234
36213,NZ,17,24,F,172
36214,US,33,27,F,234
36215,GB,14,29,F,78
36216,MX,21,27,M,158
36217,NZ,34,27,F,172
36218,US,48,26,F,234
36219,ID,14,23,F,102
36220,PH,14,21,F,178
36221,IN,34,28,M,106
36222,DE,19,27,F,57
36223,IN,33,25,M,106
36224,US,22,24,M,234
36225,IT,47,31,F,111
36226,IT,24,28,F,111
36227,IT,27,27,F,111
36228,IT,26,27,F,111
36229,IT,26,27,F,111
36230,IT,31,24,M,111
36231,IT,25,25,M,111
36232,IT,26,25,F,111
36233,IT,29,26,F,111
36234,IT,28,29,F,111
36235,IT,28,29,F,111
36236,IT,26,24,F,111
36237,GB,18,28,F,78
36238,IT,24,23,F,111
36239,IT,25,25,F,111
36240,IT,27,28,F,111
36241,BE,42,27,F,20
36242,IT,25,26,F,111
36243,IT,28,33,F,111
36244,US,33,24,F,234
36245,IT,27,28,F,111
36246,IT,26,25,F,111
36247,AU,27,29,M,13
36248,IT,25,25,F,111
36249,LT,19,27,F,134
36250,IT,26,25,F,111
36251,IT,25,25,F,111
36252,IT,28,29,F,111
36253,IT,27,26,F,111
36254,FR,32,26,F,76
36255,IT,28,31,F,111
36256,IT,25,27,F,111
36257,US,27,13,F,234
36258,US,18,25,M,234
36259,IT,25,25,0,111
36260,MY,24,31,F,159
36261,IT,27,29,F,111
36262,MY,18,25,F,159
36263,IT,28,30,F,111
36264,IT,35,28,F,111
36265,IT,28,23,F,111
36266,DE,20,27,M,57
36267,US,26,29,F,234
36268,CA,20,25,M,38
36269,GB,14,25,F,78
36270,SG,29,29,F,199
36271,ES,22,26,M,68
36272,PK,23,32,F,179
36273,PH,16,26,F,178
36274,IN,20,25,M,106
36275,AT,19,27,M,12
36276,US,18,26,M,234
36277,US,44,31,F,234
36278,IT,28,26,F,111
36279,US,14,28,F,234
36280,ZA,37,27,F,248
36281,US,20,26,F,234
36282,IT,27,23,F,111
36283,GB,28,30,F,78
36284,IT,25,26,F,111
36285,US,17,28,M,234
36286,SE,19,27,M,198
36287,PL,15,22,F,180
36288,SE,39,34,M,198
36289,US,22,26,M,234
36290,US,17,28,F,234
36291,CA,58,17,F,38
36292,CA,58,23,F,38
36293,IT,28,23,F,111
36294,US,18,27,F,234
36295,CY,15,31,M,55
36296,RO,19,27,F,190
36297,GB,14,27,F,78
36298,CA,22,24,F,38
36299,BG,16,28,F,22
36300,GB,51,28,F,78
36301,GB,16,27,M,78
36302,US,25,27,F,234
36303,US,16,30,M,234
36304,JM,22,24,F,113
36305,US,58,25,M,234
36306,US,50,27,F,234
36307,US,19,25,M,234
36308,IT,28,30,F,111
36309,US,22,27,F,234
36310,US,16,26,F,234
36311,TR,20,30,M,226
